term,pos,notes,is_case_sensitive,translation_nl
Drivers not part of any Group,verb,Lists active drivers in the fleet not assigned to any Group.,FALSE,Bestuurder maakt geen deel uit van een groep
Drivers Page,verb,A section in the Portal where Safety Managers view details about drivers in their fleet.,FALSE,Bestuurders Pagina
Drivers Screen,verb,A screen that shows the performance and alerts of drivers in a fleet.,FALSE,Bestuurders Scherm
DriverStar,verb,DriverStars are awarded to drivers in recognition of great driver performance and are intended to encourage drivers to practice safe driving behavior.,FALSE,DriverStar
Driver-Star,verb,,FALSE,Driver-Star
DriverStar Events,verb,Positive driving events used to highlight good performance alongside areas needing improvement.,FALSE,DriverStar-Gebeurtenissen
DriverStar Streak,verb,A type of DriverStar that is awarded when a driver completes 75Â¬â€ FullÂ¬â€ Stops in a row. The DriverStar Steak is issued 24 hours after the 75 stops are identified to allow sufficient time for Driver Assignment. A custom video is played congratulating the Driver on completing 75 full stops in a row.,FALSE,DriverStar Streak
DriverStar Subtypes,verb,"Recognitions given to drivers for good driving behavior, intended to encourage safe driving.",FALSE,DriverStar-Subtypes
DriverStars||Driver stars||Driver Stars,verb,,FALSE,DriverStars||Driver stars||Driver Stars
Driving Conditions,verb,"Weather conditions at the time of a collision, like clear, fog, or rain.",FALSE,Rijomstandigheden
Driving Minute,noun,A Driving Minute includes any time in which theâ€šÃ„Ã˜vehicleâ€šÃ„Ã˜speedâ€šÃ„Ã˜reaches 2 mph for at least one second.,FALSE,
Driving Trip,verb,A period of time when the vehicle is in motion and being driven.,FALSE,
Drop-down List,verb,A menu that allows you to select options such as specific time periods for filtering data.,TRUE,Keuzelijst
Drowsiness Detection,noun,Identifying when a driver appears sleepy or tired while driving.,TRUE,Vermoeidheidsdetectie
Drowsy,adjective,,TRUE,Vermoeid
Duration Drop-down Menu,verb,A list where you can select the time range for the graph.,FALSE,Drop-downmenu Duur
Duration Selected,verb,The specific time period chosen for analyzing driver alerts or performance data.,FALSE,Duur Geselecteerd
Durational Alerts,verb,"Alerts that are generated periodically if an issue persists (e.g., every minute or every 10 minutes).",FALSE,Tijdelijke waarschuwingen
Edge Computing,verb,"Processing data closer to where it is generated (e.g., in the vehicle), instead of sending it to a centralized server.",FALSE,Randcomputing
Efficient,verb,Achieving goals quickly and with minimal waste of time or resources.,FALSE,
Ejected,verb,"Being thrown out of the vehicle, usually due to lack of seatbelt usage or a violent crash.",FALSE,
ELD Integration,noun,"The connection of an Electronic Logging Device (ELD) to the system, which provides driver assignment data for device status updates.",FALSE,ELD-Integratie
Elevated Temperatures,verb,"Cargo that is transported while being kept hot, such as asphalt.",FALSE,
Email Link for Setup,verb,An email sent to the driver containing a link to set their app password.,FALSE,e-maillink voor installatie
Email Notifications,verb,Alerts sent to your email address.,FALSE,
Email Reminders,verb,"Notifications sent to customers to remind them of pending actions, such as returning a faulty device.",FALSE,
Email Sharing,verb,"If the driver is not using the Driverâ€šÃ„Â¢i App, alerts can be shared via email with a time-limited link.",FALSE,delen via e-mail
Emergency Response Team,verb,A group responsible for analyzing accident data and coordinating responses during emergencies.,FALSE,Noodhulpteam
End Driving Session,verb,A feature in the app that the driver taps when they finish their trip to mark the end of their driving session.,FALSE,Einde Rit
Engine Vibration Alert,noun,"A warning for excessive shaking in a vehicleâ€šÃ„Ã´s engine, often in heavy vehicles.",FALSE,Motortrillingswaarschuwing
Enhanced Privacy,verb,A feature that disables some inward camera recordings but is overridden during Driver Initiated Alerts.,FALSE,Privacymodus
Error-Events,verb,,FALSE,foutmeldingen
Event Access,verb,Permission for drivers to view specific incidents or videos related to their driving.,FALSE,Gebeurtenistoegang
Event Access Page,verb,"A page where you can view or download videos once they are processed and uploaded, associated with a specific event or alert.",FALSE,Gebeurtenistoegangspagina
Event Access Video,verb,A video recorded by the system for a driving event that did not create an alert.,FALSE,Gebeurtenistoegangsvideo
Event Distribution Analysis,verb,A tab that breaks down the types and frequency of events (like alerts) across the fleet.,FALSE,Distributie Gebeurtenis Analyse
Event Footage,verb,"The video or other media content associated with an alert, showing the specific incident or behavior that triggered the alert.",TRUE,Gebeurtenisbeelden
Event ID,noun,"A unique identifier assigned to each event or alert in the system, used to track and review alerts efficiently.",FALSE,Gebeurtenis-id
Event Summary,verb,"A summary of alerts and driver performance, presented in chart formats",FALSE,Samenvatting van Gebeurtenis
Event Type Chart,verb,A Pie Chart or Bubble Chart that displays the number of alerts graphically for individual drivers or all drivers to give an overview of the overall performance of the Fleet.,FALSE,Gebeurtenistype Grafiek
Event Video,verb,"A video recording of a particular driving event, often showing the context of an alert or behavior, which can be played for review.",FALSE,Video Gebeurtenis
Event Vs Time Chart,verb,A graphical representation of Fleet performance that displays the number of alerts over time. The alert count is grouped by severity and type.,FALSE,Gebeurtenis vs. tijdgrafiek
Events Panel,verb,Highlights the aggregated real-time alerts based on the violation types and DriverStars. Events Panel is available on the Fleet Performance page in Dashboard.,FALSE,Gebeurtenissenpanel
Events Screen,verb,A section in the app that shows a list of all events (such as alerts and driver performance indicators) recorded within a specific time frame.,FALSE,sectie Gebeurtenissen
Events vs Time,verb,"A graphical representation of events (Alerts, Recognitions, Notifications) over a time period, used to analyze trends and patterns in fleet performance.",FALSE,
Evidence,noun,Recorded videos used to resolve disputes or incidents by showing proof of events.,FALSE,
Excessive Idling,verb,,TRUE,overmatig stationair draaien
Excessive Yawn,verb,"Yawning three times in five minutes while driving, detected as a moderate sign of drowsiness.",FALSE,
Excessive Yawning,verb,,FALSE,overmatig gapen
Executive Reports,verb,"Summaries of Fleet and Driver performance, including rankings, risks, and recommendations.",FALSE,Samenvattende Verslagen
Executive Summary,verb,"This section provides information about the overall demographics, such as Number of Vehicles, Distance, Total Traffic Lights, Total Stop Signs, Total Driving Time, and Total Traffic Time.",FALSE,Samenvattend Verslag
Executive Summary Report,noun,"A detailed report summarizing fleet performance, driver rankings, alert profiles, and coaching recommendations, generated on a weekly or monthly basis.",FALSE,Samenvattend Rapport
Exempt from Hours of Service (H.O.S.),noun,"Indicates whether a driver is exempt from the regulations that limit driving hours, typically for specific driver types or scenarios",FALSE,Vrijgesteld van diensturen (V.V.D.)
Export to CSV,verb,A feature to download geofence data in CSV format for external use.,FALSE,Exporteren naar csv
External Cameras,verb,"Additional cameras connected to the Driverâ€šÃ„Â¢i system, which can also be used for audio recordings.",TRUE,Externe Camera's
Eye Behavior,verb,"How the eyes move or stay open, used to detect drowsiness, such as slow blinking or closed eyes.",FALSE,Ooggedrag
Face Mask Compliance,noun,,FALSE,Naleving gezichtsmasker
Face-Mask-Compilance,noun,,FALSE,Naleving Gezichtsmasker
Feb,verb,,FALSE,Feb
Feedback,verb,Comments or disputes submitted by drivers or managers about the validity of an alert.,TRUE,Feedback
Feedback Tab,verb,A section to provide input or evaluations regarding an alert.,TRUE,Tabblad Feedback
Field of Vision,verb,"The area visible in the camera view, showing detected vehicles, road signs, or traffic signals.",TRUE,Gezichtsveld
Filter Options,verb,"Choices that allow users to sort and display alerts by their risk level (e.g., severe, moderate).",TRUE,Filteropties
Filter Panel,verb,"A tool to sort and narrow down data, making it easier to focus on specific driver details.",FALSE,
Fire Hazard,verb,A situation where there is a risk of fire.,FALSE,
Flammable Cargo,noun,Materials like oil and gas that can easily catch fire.,FALSE,
Fleet,noun,A group of vehicles associated with a Customer.,TRUE,Wagenpark
Fleet Access,noun,The permissions or rights granted to a user to access and manage specific fleets in the system.,FALSE,wagenparktoegang
Fleet Admin,noun,A page in the Dashboard that displays the summarized view of administrative issues that require the manager's attention,FALSE,Wagenparkadministratie
Fleet Admin Dashboard,verb,"Displays a summarized view of Device Health, Provisioning & Configurations, Vehicles, and Groups for operational or administrative oversight.",FALSE,Dashboard voor Wagenparkadministratie
Fleet Comparison,verb,A feature that allows the user to compare selected Fleets and generate a report.,FALSE,Wagenparkvergelijking
Fleet Comparison Report,verb,,FALSE,Wagenparkvergelijkingsrapport
Fleet Compliance,noun,How well a group of vehicles and their drivers follow safety regulations.,FALSE,Naleving Wagenpark
Fleet Goal,noun,A configured value of GreenZone Score to identify the drivers who are performing well. The value can be configured in the range of 0 to 1000. Default value is set at 850. See GreenZone Score.,TRUE,Wagenparkdoel
Fleet Goal and Fleet Average,verb,Fleet Goal and Fleet Average provide context for comparing the individual driver's performance against both the Fleetâ€šÃ„Ã´s objectives and the average performance of other drivers in the Fleet.,TRUE,Wagenparkdoel en Wagenparkgemiddelde
Fleet Level,verb,A configuration that applies to all vehicles in a group managed by the same organization.,TRUE,Wagenparkniveau
Fleet Management,noun,,TRUE,Wagenparkbeheer
Fleet Managers,noun,"Individuals responsible for managing a fleet of vehicles and drivers, ensuring safety and performance.",TRUE,Wagenparkbeheerders
Fleet Map,noun,,FALSE,Wagenpark Kaart
Fleet Metrics,verb,Data and statistics that evaluate the overall safety and performance of a fleet of drivers.,FALSE,Wagenparkgegevens
Fleet name,noun,,FALSE,Naam wagenpark
Fleet Operations,verb,"The management and coordination of a group of vehicles, usually in a company or organization.",FALSE,Wagenparkoperaties
Fleet or Netradyne Comments,verb,"Notes or feedback added by users from the Fleet or Netradyne, which stop the automated device state transition once added.",FALSE,Wagenpark of Netradyne Opmerkingen
Fleet Performance,noun,Presents a high-level view of the overall efficiency and effectiveness of the fleet operations.,TRUE,Wagenparkprestaties
Fleet Performance Dashboard,noun,"A tool used by Safety Managers to monitor and manage the safety metrics of a fleet, such as vehicles and drivers, providing insights for informed decision-making.",FALSE,Dashboard voor Wagenparkprestaties
Fleet Report,verb,,FALSE,Wagenparkrapport
Fleet Speed limit,verb,,FALSE,Wagenpark Snelheidslimiet
Fleet statistics,verb,A summary of key performance metrics within a fleet management system,FALSE,Wagenparkstatistieken
Fleet Tracking,verb,,TRUE,Wagenpark Volgen
Fleet Trend,verb,A pattern showing how the fleet's performance changes over time.,TRUE,Wagenparktrend
First Notice of Loss,noun,"Initial report containing key data about a collision, used for claims and investigations.",FALSE,Eerste kennisgeving van verlies
Following Distance,noun,An alert that is raised if the driver did not maintain a safe distance with the vehicle ahead.,TRUE,Volgafstand
Following Distance Insights,verb,Provides graphical representation of Average Following Distance distribution and the distribution of Following Distance Alert subtypes that were generated.,FALSE,Inzichten in Volgafstand
Following-Distance,verb,,TRUE,Volgafstand
Following-Distance--Hard-Brake,noun,,FALSE,Volgafstand--Hard remmen
Field of View,noun,The visible area captured by the camera.,FALSE,gezichtsveld
Frame-by-Frame Viewing,verb,A feature that lets users review the video one frame at a time for precise analysis.,FALSE,Beeld-per-beeld Bekijken
Frequency of Alert Repetition,verb,Describes how often the system raises alerts when obstructions occur repeatedly during a trip.,FALSE,Herhalingsfrequentie van waarschuwingen
Frequent Alerts,noun,"The most commonly occurring alerts, ranked in descending order to highlight critical safety issues.",TRUE,Meest Voorkomende Waarschuwingen
Fri,verb,Month,FALSE,Vr
From Front Alert,verb,"An alert triggered when a driver follows another vehicle too closely, not maintaining the recommended safe distance.",FALSE,Waarschuwing Volgafstand
Fuel Impact,noun,,FALSE,Brandstofimpact
Fuel-Impact,noun,,FALSE,Brandstofimpact
Full Video,verb,"The complete video recorded for an event, including audio if available.",FALSE,Volledige video
Fully Viewed,verb,Watching an alert video from start to end without skipping any part.,FALSE,Volledig bekeken
G Value,verb,"A measure of acceleration relative to gravity, used to indicate the severity of a turn.",FALSE,G Waarde
General Availability Alert,verb,"An upgraded alert that has been tested for its precision in Beta stage. Once a certain threshold is reached, the alert is upgraded and made available to all. It may start impacting the GreenZone Score.",FALSE,Algemeen beschikbaarheidsalarm
Geo Location,verb,"The exact geographic position of the vehicle, including altitude, latitude, and longitude.",FALSE,Geo-locatie
Geofence,noun,,FALSE,Geofence
Geofence Activity Report,noun,"Geofence Activity Report offers a comprehensive view of vehicle activity within a designated virtual boundary, surrounding a specific geographical area.",FALSE,Geofence-Activiteitenrapport
Geofencing,verb,Process of creating a perimeter or boundary for a certain geolocation per alert type so that any event generated in that geofence is suppressed.,FALSE,Geofencing
Geographic Location,verb,"The specific place where something is situated, described by coordinates or other location-based data.",FALSE,
Geotab,noun,Non-Translatable Words,FALSE,Geotab
Geotab Compliance Suite,verb,A set of tools and software used to ensure that fleet operations comply with various transportation regulations.,FALSE,Geotab Nalevingsomgeving
G-Force criteria,verb,"G-force, or gravitational force, indicates the intensity of forces experienced by an object due to sudden changes in motion or direction.",FALSE,G-krachten criteria
G-force,verb,A measure of the force exerted during a collision or sudden impact.,FALSE,G-krachten
Global Configuration,verb,Default settings that are configured for all vehicles in the Fleet.,FALSE,
GPS Antenna,noun,"The component that receives signals from GPS satellites to determine the deviceâ€šÃ„Ã´s location, typically visible to the sky.",FALSE,
Grace Period,verb,"The period of time in which drivers must review and act on alerts. If this time expires without the driver completing the task, the alert is added to their Managed Coaching Session.",FALSE,overgangsperiode
Green Arrow Icon,verb,An icon used to expand an event to show more detailed information about the associated alert or DriverStar.,FALSE,Groene Pijl Pictogram
Green Trace,verb,A line on the alert video graph that shows vehicle speed changes during an incident like hard braking.,FALSE,Groene Lijn
GreenZone Average Fleet Score,noun,"The average of GreenZone Scores of all drivers in the Fleet, including unassigned drivers.",FALSE,Gemiddelde GreenZone-Wagenparkscore
GreenZone Impact,verb,Refers to whether the alert affects the driverâ€šÃ„Ã´s GreenZone Score; in this case,FALSE,GreenZone-Impact
GreenZone Notification,verb,Total percentage of drivers who have received notifications for a drop in score due to risky driving in the selected period. This can be accessed from the Fleet Performance tab on the Dashboard.,FALSE,GreenZone-Melding
GreenZone Recognition,noun,Total percentage of drivers who have been awarded a recognition for safe driving in the selected period. This can be accessed from the Fleet Performance tab on the Dashboard.,FALSE,GreenZone-Erkenning
GreenZone Score,noun,Score computed for the driver for a daily/weekly/monthly duration based on the Alerts/DriverStars generated by the driver.,FALSE,GreenZone-Score
GreenZone Score Thresholds,verb,"Encourages drivers to meet or exceed fleet goals, promoting competition and improving overall fleet efficiency and safety.",FALSE,GreenZone-Scoringsdrempels
GreenZone Statistics,verb,A dashboard showing charts with data on fleet and driver performance to assess effectiveness.,FALSE,GreenZone-Statistieken
GreenZone Threshold,verb,Minimum value of GreenZone Score to identify drivers who are not performing well. The value can be configured in the range of 0 to 999. Default value is set at 600.,FALSE,GreenZone-Drempel
Group Comparison,verb,,FALSE,Groepsvergelijking
Group Comparison Report,verb,,FALSE,Groepsvergelijkingsrapport
Group Hierarchy,verb,The organizational structure or group under which the vehicle or driver is categorized.,TRUE,GroepshiÃ«rarchie
Group-level,verb,"The Group Comparison report displays the Group Granularity tab with the Group Name, Group Hierarchy Lineage, and other information listed in the table below.",FALSE,
Groups,verb,"Information about groups of vehicles or drivers, categorized for efficient management and monitoring.",FALSE,
Groups Section,verb,Displays issues related to group configurations in the Fleet Admin Dashboard.,FALSE,Groepsectie
Groups with no Drivers,noun,Displays Groups without assigned drivers.,FALSE,Groepen zonder bestuurders
Gyro,verb,A sensing device that is used to measure orientation and angular velocity.,FALSE,Gyroscoop
GZ,noun,Non-Translatable Words,TRUE,GZ
GZV4,noun,Non-Translatable Words,TRUE,GZV4
Hard Acceleration,noun,,TRUE,Hard Optrekken
Hard Braking,noun,,TRUE,Hard Remmen
Hard Turn,noun,,FALSE,Scherpe Bocht
Hard-Acceleration,noun,,FALSE,Hard Optrekken
Hard-Braking,noun,,FALSE,Hard Remmen
Hard-Turn,noun,,FALSE,Hard Draaien
Hard-Turn--Hard-Brake,noun,,FALSE,Hard keren-Hard remmen
Harsh Handling Alerts,noun,,FALSE,Waarschuwingen voor ruwe handelingen
Hazardous Location,verb,,FALSE,Gevaarlijke locatie
Hazardous Locations,noun,,FALSE,Gevaarlijke locaties
Hazardous Materials (Hazmat),verb,,FALSE,Gevaarlijke materialen (Hazmat)
Hazardous Road Conditions,verb,,FALSE,Gevaarlijke wegomstandigheden
Head Posture,verb,,FALSE,Houding van het hoofd
Health Emergency,verb,,FALSE,Gezondheidsnoodgeval
Heavy Vehicle,verb,,FALSE,Zwaar voertuig
Hierarchical View,verb,,FALSE,HiÃ«rarchische weergave
Hierarchy,verb,,FALSE,
Hierarchy-level,verb,,FALSE,
High - G,verb,,FALSE,hoge G-krachten
High Alert Rate,verb,,TRUE,Hoog Aantal Waarschuwingen
High G,verb,,TRUE,Hoge G-krachten
High G Alert,verb,,TRUE,Waarschuwing voor hoge G-krachten
High Sensitivity,noun,,TRUE,Hoge Gevoeligheid
HighG,noun,,FALSE,Hoge G
High-G,noun,,FALSE,Hoge G
High-G Alert,noun,,FALSE,waarschuwing voor hoge G-krachten
Hour,noun,,FALSE,
Hours,noun,,FALSE,
Hover,noun,,FALSE,
I am not driving,noun,,FALSE,
ID,verb,,FALSE,
IDMS Portal,noun,,FALSE,IDMS-portaal
Netradyne Portal,noun,Non-Translatable Words,FALSE,Netradyne-Portaal
Ignition,verb,The state of the vehicle being switched ON or OFF.,FALSE,
Ignition Status,noun,"The state of the vehicleâ€šÃ„Ã´s ignition (ON or OFF), which is used as a signal to determine if the vehicle is being driven.",FALSE,Ontstekingsstatus
Impactful Events,verb,Significant incidents or behaviors that negatively affect a driverâ€šÃ„Ã´s GreenZone Score.,TRUE,Belangrijke Gebeurtenissen
Improve User Experience,verb,"Making changes to a product based on feedback to make it more intuitive, functional, and enjoyable for users.",FALSE,
Inactive,adjective,Devices requiring further action by the fleet to resolve potential issues. Customers must check devices and provide requested information to the Netradyne Team.,FALSE,inactief
In-Cab Audio Alerts,noun,"Audible notifications provided within a vehicle to inform drivers of real-time updates, warnings, or instructions for improved safety and compliance in fleet management systems.",FALSE,Cabine-Audiowaarschuwingen
Incident||incident,noun,"An event or occurrence, such as a vehicle stopping in a hazardous location.",TRUE,
Incident Analysis,verb,Reviewing events around an alert to investigate and determine causes or responsibilities.,FALSE,incidentanalyse
Include Audio,verb,An option to add sound when sharing or downloading a recorded video.,FALSE,Inclusief Audio
Independent Fleets,verb,"Separate groups or collections of vehicles managed independently, typically used by large organizations or resellers who need to keep different operations isolated from each other.",FALSE,Onafhankelijke wagenparken
Individual Coaching Sessions,verb,"Short sessions, lasting 5-10 minutes, focusing on delivering concise and effective coaching.",FALSE,Individuele coachingsessies
Inertial graphs,verb,"Visual representations of vehicle movement patterns, speed, and acceleration data, aiding in analyzing and optimizing fleet performance",FALSE,Traagheidsgrafieken
Inertial Sensors,verb,Devices that measure motion and orientation to analyze driving behavior.,FALSE,Traagheidssensoren
Info Icon,verb,An icon that provides additional information about the group or category the driver belongs to.,FALSE,Info-pictogram
Info Tab,verb,"A section displaying detailed information about the alert, like vehicle data, risk type, and location.",FALSE,Tabblad Info
Inherit,verb,"A setting that allows a driver to automatically use the same values or configurations as their parent fleet or group, such as carrier name or carrier number.",FALSE,Erven
Installation Guide,noun,,FALSE,Installatiegids
Interactive Platform,verb,"A system that allows drivers to engage with coaching content by providing feedback or comments, enhancing their involvement in the learning process.",FALSE,
Interesting Events,verb,Any unusual or noteworthy occurrences on the road reported by the driver.,FALSE,
Intersection,verb,A place where two or more roads meet or cross each other.,FALSE,
Invalid Alerts,noun,Displays information about alerts that the Tenant SafetyUser or Tenant Safety Manager has determined to be invalid after reviewing the feedback.,FALSE,Ongeldige waarschuwingen
Invalid Entries,verb,"Mistakes or missing information in the driver details, which need to be corrected before saving or uploading.",FALSE,Ongeldige invoer
Inward Blurring,verb,Put definition,FALSE,Binnenwaartse vervaging
Inward Camera View,verb,"The video footage from the camera facing inside the vehicle, capturing the driverâ€šÃ„Ã´s actions and behavior.",FALSE,
Inward View,verb,A video perspective showing the driverâ€šÃ„Ã´s actions during a driver-related alert.,FALSE,
Jan,verb,Month,FALSE,Jan
Job Id,verb,,FALSE,Baan-id
"JPEG, PNG, SVG",verb,Types of image formats for saving or printing the graph.,TRUE,"JPEG, PNG, SVG"
Jul,verb,Month,FALSE,Jul
Jun,verb,Month,FALSE,Jun
Know Where They Stand,verb,Understand how their performance compares to that of fellow drivers.,FALSE,Weten waar ze staan
Lane Change,verb,"When a vehicle moves into a different lane, which can sometimes cause unsafe following distances.",TRUE,Rijstrookwisseling
Lane Change Alert,verb,A warning generated when a driver brakes hard after switching lanes to avoid a collision.,TRUE,Waarschuwing Rijstrookverandering
Lane Conduct,verb,,FALSE,Rijstrookgedrag
Lane Discipline,verb,Staying in your lane and driving responsibly without unnecessary lane changes.,FALSE,Rijstrookdiscipline
Lane Violation,verb,,FALSE,Rijstrookovertreding
Lane-Conduct,noun,,FALSE,Rijstrookgedrag
Last 12 months,verb,,TRUE,Afgelopen 12 Maanden
Afgelopen 3 Maanden,verb,Data from the past three months.,FALSE,Afgelopen 3 Maanden
Last 30 Days,verb,A filter option to view driver details from the previous 30 days.,TRUE,Afgelopen 30 Dagen
Last 6 Months,verb,Data from the past six months.,FALSE,Laatste 6 maanden
Last Response Time and Location,verb,The last time the device communicated with the system and its location at that time.,TRUE,Recenste Reactietijd & -Locatie
Last Updated,noun,,TRUE,Laatst Bijgewerkt
Latitude,verb,The geographic coordinate that specifies the north-south position of the geofence.,FALSE,Breedtegraad
Left Alert,verb,Generated when a vehicle makes a sharp left turn that exceeds the set threshold.,FALSE,Waarschuwing Links
Legal Requirement,verb,"A rule or law that mandates certain actions, such as wearing a seatbelt while driving.",FALSE,
Legend (Chart),noun,Labels above the chart that you can tap to filter specific details like your score or fleet average.,FALSE,Legenda (grafiek)
Liability,verb,"Legal responsibility, often related to accidents or violations, which alerts help reduce by preventing risks.",FALSE,
License Number,noun,An optional field where a driverâ€šÃ„Ã´s official driving license number can be entered.,FALSE,
License Plate Number,noun,The registration number of a vehicle displayed on its license plate.,FALSE,
Limited Visibility,noun,Not being able to see clearly due to blind spots or obstacles behind the vehicle.,FALSE,
Live streaming,noun,"Live streaming is a valuable tool for fleet managers, providing real-time video of their vehicles on the road.",FALSE,
Live Tracking,verb,Live Tracking feature allows fleet managers immediate access to the location and movements of their vehicles.,FALSE,Live Volgen
Load Destabilization,verb,The risk of a heavy vehicle tipping over when carrying a load and turning abruptly.,FALSE,
Loading/Unloading,noun,"Activities related to the process of loading or unloading cargo, which may cause low-impact events triggering alerts.",FALSE,
Loading/Unloading Alert,noun,A warning when G-forces occur due to loading or unloading goods.,TRUE,Waarschuwing Laden/Lossen
Location Permission,verb,A setting that allows the app to access your phone's location information.,FALSE,Locatie Toestemming
Log In,verb,The process of entering credentials (username and password) to access an app or system.,FALSE,
Login Screen,verb,The screen where you enter credentials to access an application.,FALSE,Login Scherm
Logout,verb,,FALSE,Afmelden
Longitude,verb,The geographic coordinate that specifies the east-west position of the geofence.,FALSE,Lengtegraad
Looking at Phone,verb,A distraction caused when a driver holds and looks at a phone while driving.,FALSE,
Looking Down,verb,"A type of distraction where a driverâ€šÃ„Ã´s head is down for a significant amount of time, affecting road focus.",FALSE,
Lost or Disoriented,verb,"A situation where the driver feels lost or confused, often in unfamiliar or remote areas.",FALSE,
Low Impact,noun,,TRUE,Lage Impact
Low Impact Alert,noun,A notification triggered when the vehicle experiences a slight collision or force within specific G-Force thresholds (0.75G to 1.427G).,TRUE,Waarschuwing met Lage Impact
Low Sensitivity,noun,"A setting that gives fewer alerts, ideal for experienced drivers.",FALSE,Lage gevoeligheid
Low-G Alert,noun,"An alert generated for events within the specified G-Force range, often for minor impacts or other forceful movements like speed bumps or sharp turns.",FALSE,Lage-G-waarschuwing
Low-Impact,noun,,FALSE,Weinig impact
Lumia,verb,A component of certain devices that must also have a clear view of the sky for proper functioning.,FALSE,Lumia
Macro Indicator,verb,"A measure used to track overall behavior, like the average following distance, over a longer period.",FALSE,Macro-indicator
Managed Coaching,verb,"A type of driver coaching that is driven by the Safety Manager. Managers can review the alerts for each driver and add them to a coaching session based on GreenZone Score, Risk Level (Moderate or Severe) and/or frequency for a future discussion with the driver.",FALSE,Begeleide Coaching
managed coaching session,verb,,TRUE,begeleide coachingsessie
Managed Coaching Sessions Report,,A report that summarizes the coaching sessions for the selected duration.,TRUE,Rapport Begeleide Coachingsessies
Managed Fleet,verb,,TRUE,Beheerd Wagenpark
Manager Notification,verb,Managers receive notifications when the driver replies to shared comments.,FALSE,Kennisgeving Manager
Manual Coaching,verb,A traditional coaching method requiring direct intervention from safety managers to review and provide feedback.,FALSE,Handmatig coachen
Map View,verb,"Alert view that displays alerts based on alert locations, filtered by time or occurrence and alert types.",FALSE,Kaart Bekijken
Mar,noun,Month,FALSE,Mar
Mark All as Read,verb,An option to mark all notifications as read.,FALSE,Alles Markeren Als Gelezen
Master Disconnect Switch,verb,Switches that are provided in vehicles to preserve battery life and prevent theft or tampering. They work by cutting off the connection between battery and fuses that power the vehicle.,FALSE,
Max Speed,verb,The highest speed the vehicle reached during the recorded event.,FALSE,Maximale snelheid
May,verb,Month,FALSE,
Medium Sensitivity,verb,A balanced alert setting suitable for mixed traffic conditions.,FALSE,gemiddelde gevoeligheid
Menu Icon,noun,A button (usually in the top corner) that opens the appâ€šÃ„Ã´s menu.,FALSE,menupictogram
Miles by Jurisdiction Report,noun,Miles by Jurisdiction Report displays the Total Miles driven by a vehicle in an individual jurisdiction (state/province) for the indicated duration.,FALSE,Rapport Kilometers per Jurisdictie
Min Speed,verb,The lowest speed the vehicle reached during the recorded event.,FALSE,Min snelheid
Minute,verb,,FALSE,
Minutes,verb,,FALSE,
Minutes Analysed,verb,Safely driven minutes as compared to a driver's total drive time.,FALSE,geanalyseerde minuten
Moderate,adjective,,TRUE,gemiddeld
Moderate Alert,noun,Alerts that are configured to trigger when the driver exceeds the alert threshold by a small (moderate) margin.,FALSE,gemiddelde waarschuwing
Moderate Alerts,noun,Notifications for less critical but still significant safety issues that need monitoring.,FALSE,gemiddelde waarschuwingen
Moderate Backing Alert,noun,A warning when reversing at more than 7 mph for over 3 seconds.,FALSE,gemiddelde achteruitrijdwaarschuwing
Moderate Impact,verb,,FALSE,gemiddelde invloed
Moderate Impact Alert,noun,"A warning for medium-level accidents, like hitting another vehicle at low speeds.",FALSE,waarschuwing met matige impact
Moderate Potential Impact,verb,A collision event detected with a G-force between 1.43G to 3.00G.,FALSE,matige potentiÃ«le botsing
Moderate Risk,verb,A classification of alerts indicating a moderate level of risk associated with the driver's behavior.,FALSE,gemiddeld risico
Mon,verb,,FALSE,Ma
Monetary Fines,verb,"Financial penalties imposed on drivers for breaking traffic rules, like running a red light.",FALSE,
Month||month,verb,,FALSE,
Monthly||monthly,verb,,FALSE,
Monthly Chart,verb,A graph that shows performance data for each month.,FALSE,Maandgrafiek
Months,verb,,FALSE,
More Actions,verb,A menu option to reject or modify alerts into DriverStars or Neutral Events.,TRUE,Meer Acties
Most Frequent Alerts,noun,Alerts that a driver triggers most often during a selected time period.,TRUE,Meest Voorkomende Waarschuwingen
Most Impacting Events,verb,"The events or behaviors that have the largest effect on a driverâ€šÃ„Ã´s performance, usually highlighted for corrective action or review.",TRUE,Belangrijkste Gebeurtenissen
Motivational Tool,verb,"An instrument, such as the GreenZone Score, used to encourage drivers to improve their performance by providing feedback and recognition based on their behavior.",FALSE,Motiverend hulpmiddel
Multi Video,verb,A video combining multiple camera views into one for sharing.,FALSE,Meerdere video's
Multi-View Video,verb,"A high-definition video with four different camera angles: Outward, Left, Right, and Inward, showing a full view of the alert event.",FALSE,Video met meerdere weergaven
NA (Not Available),verb,Indicates insufficient driving data to calculate the GreenZone Score.,FALSE,NB (Niet beschikbaar)
Near Miss,verb,A situation where a collision is narrowly avoided.,FALSE,Bijna Mis
Netradyne University,verb,,FALSE,Netradyne Universiteit
Neutral,noun,,FALSE,Neutraal
Neutral Events,verb,Normal driver actions that meet the established compliance thresholds for specific types of behavior.,TRUE,Neutrale Gebeurtenissen
Neutral-Events,verb,,FALSE,Neutrale gebeurtenissen
No Stop,verb,A severe sign violation where the vehicle fails to stop at a stop sign and continues moving at a speed greater than 7 mph.,FALSE,Geen Stop
